index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
3102,system shall make connection main database query records.,system shall make connection main database query records.,0,Medical,Artificial Intelligence,79,79,57,57,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('connection', 'NN'), ('main', 'JJ'), ('database', 'NN'), ('query', 'NN'), ('records', 'NNS'), ('.', '.')]",The system shall make main system connection database query
3103,system shall also guide analyst fix problem might root cause problem.,system shall also guide analyst fix problem might root cause problem.,0,Medical,Artificial Intelligence,115,115,69,69,"[('system', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('guide', 'VB'), ('analyst', 'NN'), ('fix', 'NN'), ('problem', 'NN'), ('might', 'MD'), ('root', 'VB'), ('cause', 'NN'), ('problem', 'NN'), ('.', '.')]",The system shall guide root  system analyst fix problem cause
3104,"agent application system shall sometimes collect protein information (e.g. protein id, sequence, blast information etc.) online available protein database i.e. proteindb, uniprot etc.","system agent application shall sometimes collect protein information (e.g. protein id, sequence, blast information etc.) online available protein database i.e. proteindb, uniprot etc.",0,Medical,Artificial Intelligence,201,201,183,183,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('sometimes', 'RB'), ('collect', 'VB'), ('protein', 'JJ'), ('information', 'NN'), ('(', '('), ('e.g', 'NN'), ('.', '.'), ('protein', 'NN'), ('id', 'NN'), (',', ','), ('sequence', 'NN'), (',', ','), ('blast', 'JJ'), ('information', 'NN'), ('etc', 'NN'), ('.', '.'), (')', ')'), ('online', 'NN'), ('available', 'JJ'), ('protein', 'NN'), ('database', 'NN'), ('i.e', 'NN'), ('.', '.'), ('proteindb', 'NN'), (',', ','), ('uniprot', 'JJ'), ('etc', 'NN'), ('.', '.')]",The system shall collect protein blast available uniprot agent application system information e.g protein id sequence etc online database i.e proteindb
3105,system shall first find required information regarding analysis analyst performing main database.,system shall first find required information regarding analysis analyst performing main database.,0,Medical,Artificial Intelligence,128,128,97,97,"[('system', 'NN'), ('shall', 'MD'), ('first', 'RB'), ('find', 'VB'), ('required', 'JJ'), ('information', 'NN'), ('regarding', 'VBG'), ('analysis', 'NN'), ('analyst', 'NN'), ('performing', 'VBG'), ('main', 'JJ'), ('database', 'NN'), ('.', '.')]",The system shall find regarding performing required main system information analysis analyst database
3106,system shall make connectivity internet execute respective line code generate request online database server send described data.,system shall make connectivity internet execute respective line code generate request online database server send described data.,0,Medical,Artificial Intelligence,170,170,129,129,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('connectivity', 'NN'), ('internet', 'NN'), ('execute', 'VBP'), ('respective', 'JJ'), ('line', 'NN'), ('code', 'NN'), ('generate', 'NN'), ('request', 'NN'), ('online', 'NN'), ('database', 'NN'), ('server', 'NN'), ('send', 'VBP'), ('described', 'VBN'), ('data', 'NNS'), ('.', '.')]",The system shall make execute send described respective system connectivity internet line code generate request online database server
3107,system shall receive information precise data structure format explicitly defined agent.,system shall receive information precise data structure format explicitly defined agent.,0,Medical,Artificial Intelligence,118,118,88,88,"[('system', 'NN'), ('shall', 'MD'), ('receive', 'VB'), ('information', 'NN'), ('precise', 'NN'), ('data', 'NN'), ('structure', 'NN'), ('format', 'NN'), ('explicitly', 'RB'), ('defined', 'VBD'), ('agent', 'NN'), ('.', '.')]",The system shall receive defined  system information precise data structure format agent
3108,system shall make connectivity internet execute respective line code generate request online database server send described data.,system shall make connectivity internet execute respective line code generate request online database server send described data.,0,Medical,Artificial Intelligence,170,170,129,129,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('connectivity', 'NN'), ('internet', 'NN'), ('execute', 'VBP'), ('respective', 'JJ'), ('line', 'NN'), ('code', 'NN'), ('generate', 'NN'), ('request', 'NN'), ('online', 'NN'), ('database', 'NN'), ('server', 'NN'), ('send', 'VBP'), ('described', 'VBN'), ('data', 'NNS'), ('.', '.')]",The system shall make execute send described respective system connectivity internet line code generate request online database server
3109,system shall receive information precise data structure format explicitly defined agent.,system shall receive information precise data structure format explicitly defined agent.,0,Medical,Artificial Intelligence,118,118,88,88,"[('system', 'NN'), ('shall', 'MD'), ('receive', 'VB'), ('information', 'NN'), ('precise', 'NN'), ('data', 'NN'), ('structure', 'NN'), ('format', 'NN'), ('explicitly', 'RB'), ('defined', 'VBD'), ('agent', 'NN'), ('.', '.')]",The system shall receive defined  system information precise data structure format agent
3110,agent application system shall also mine rule knowledge base depending upon analysis.,system agent application shall also mine rule knowledge base depending upon analysis.,0,Medical,Artificial Intelligence,103,103,85,85,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('mine', 'VB'), ('rule', 'NN'), ('knowledge', 'NN'), ('base', 'NN'), ('depending', 'VBG'), ('upon', 'IN'), ('analysis', 'NN'), ('.', '.')]",The system shall mine depending  agent application system rule knowledge base analysis
3111,system shall query knowledge base find rule mined current analysis type using somehow different parameters.,system shall query knowledge base find rule mined current analysis type using somehow different parameters.,0,Medical,Artificial Intelligence,157,157,107,107,"[('system', 'NN'), ('shall', 'MD'), ('query', 'VB'), ('knowledge', 'NN'), ('base', 'NN'), ('find', 'VB'), ('rule', 'NN'), ('mined', 'VBN'), ('current', 'JJ'), ('analysis', 'NN'), ('type', 'NN'), ('using', 'VBG'), ('somehow', 'RB'), ('different', 'JJ'), ('parameters', 'NNS'), ('.', '.')]",The system shall query find mined using current different system knowledge base rule analysis type
3112,system shall display rule mined knowledge base performing current analysis depending upon user.,system shall display rule mined knowledge base performing current analysis depending upon user.,0,Medical,Artificial Intelligence,130,130,95,95,"[('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('rule', 'NN'), ('mined', 'VBN'), ('knowledge', 'NN'), ('base', 'NN'), ('performing', 'VBG'), ('current', 'JJ'), ('analysis', 'NN'), ('depending', 'VBG'), ('upon', 'IN'), ('user', 'NN'), ('.', '.')]",The system shall display mined performing depending current system rule knowledge base analysis user
3113,agent application system shall read xml file containing analysis related information run preference estimation algorithms.,system agent application shall read xml file containing analysis related information run preference estimation algorithms.,0,Medical,Artificial Intelligence,139,139,122,122,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('read', 'VB'), ('xml', 'NNP'), ('file', 'NN'), ('containing', 'VBG'), ('analysis', 'NN'), ('related', 'VBN'), ('information', 'NN'), ('run', 'NN'), ('preference', 'NN'), ('estimation', 'NN'), ('algorithms', 'NN'), ('.', '.')]",The system shall read containing related  agent application system file analysis information run preference estimation algorithms
3114,system shall ask user input file he/she want convert xml format.,system shall ask user input file he/she want convert xml format.,0,Medical,Artificial Intelligence,87,87,64,64,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('input', 'NN'), ('file', 'NN'), ('he/she', 'NN'), ('want', 'VBP'), ('convert', 'NN'), ('xml', 'NNP'), ('format', 'NN'), ('.', '.')]",The system shall ask want user system input file he/she convert format
3115,system check whether conversion mechanism available agent not.,system shall check whether conversion mechanism available agent not.,0,Medical,Artificial Intelligence,95,96,62,68,"[('system', 'NN'), ('check', 'VB'), ('whether', 'IN'), ('conversion', 'NN'), ('mechanism', 'NN'), ('available', 'JJ'), ('agent', 'NN'), ('not', 'RB'), ('.', '.')]",The system shall check available system conversion mechanism agent
3116,agent application system shall ask user select analysis type.,system agent application shall ask user select analysis type.,0,Medical,Artificial Intelligence,72,72,61,61,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('select', 'JJ'), ('analysis', 'NN'), ('type', 'NN'), ('.', '.')]",The system shall ask user select agent application system analysis type
3117,system shall save estimation results.,system shall save estimation results.,0,Medical,Artificial Intelligence,45,45,37,37,"[('system', 'NN'), ('shall', 'MD'), ('save', 'VB'), ('estimation', 'NN'), ('results', 'NNS'), ('.', '.')]",The system shall save  system estimation
3118,agent application system shall also allow user run mapres algorithm attached file.,system agent application shall also allow user run mapres algorithm attached file.,0,Medical,Artificial Intelligence,98,98,82,82,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('allow', 'VB'), ('user', 'NN'), ('run', 'NN'), ('mapres', 'VBZ'), ('algorithm', 'RB'), ('attached', 'VBN'), ('file', 'NN'), ('.', '.')]",The system shall allow mapres attached  agent application system user run file
3119,system shall ask user first run preference estimation process attached file.,system shall ask user first run preference estimation process attached file.,0,Medical,Artificial Intelligence,90,90,76,76,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'NN'), ('first', 'RB'), ('run', 'VB'), ('preference', 'NN'), ('estimation', 'NN'), ('process', 'NN'), ('attached', 'VBN'), ('file', 'NN'), ('.', '.')]",The system shall ask run attached  system user preference estimation process file
3120,"system shall ask user select preferred site run analysis i.e. positive preferred sites, negative preferred site both.","system shall ask user select preferred site run analysis i.e. positive preferred sites, negative preferred site both.",0,Medical,Artificial Intelligence,145,145,117,117,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'JJ'), ('select', 'NN'), ('preferred', 'VBD'), ('site', 'NN'), ('run', 'NN'), ('analysis', 'NN'), ('i.e', 'NN'), ('.', '.'), ('positive', 'JJ'), ('preferred', 'JJ'), ('sites', 'NNS'), (',', ','), ('negative', 'JJ'), ('preferred', 'JJ'), ('site', 'NN'), ('both', 'DT'), ('.', '.')]",The system shall ask preferred user positive preferred negative system select site run analysis i.e
3121,system shall ask user input minimum support level run estimation.,system shall ask user input minimum support level run estimation.,0,Medical,Artificial Intelligence,85,85,65,65,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('user', 'NN'), ('input', 'NN'), ('minimum', 'JJ'), ('support', 'NN'), ('level', 'NN'), ('run', 'VBN'), ('estimation', 'NN'), ('.', '.')]",The system shall ask run minimum system user input support level estimation
3122,system shall allow user save estimation results.,system shall allow user save estimation results.,0,Medical,Artificial Intelligence,59,59,48,48,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('save', 'JJ'), ('estimation', 'NN'), ('results', 'NNS'), ('.', '.')]",The system shall allow save system user estimation
3123,agent application system shall also allow analyst define his/her encoding scheme.,system agent application shall also allow analyst define his/her encoding scheme.,0,Medical,Artificial Intelligence,92,92,81,81,"[('agent', 'NN'), ('application', 'NN'), ('system', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('allow', 'VB'), ('analyst', 'NN'), ('define', 'NN'), ('his/her', 'NN'), ('encoding', 'VBG'), ('scheme', 'NN'), ('.', '.')]",The system shall allow encoding  agent application system analyst define his/her scheme
3124,system shall first ask user input data file analyst want perform analysis.,system shall first ask user input data file analyst want perform analysis.,0,Medical,Artificial Intelligence,98,98,74,74,"[('system', 'NN'), ('shall', 'MD'), ('first', 'RB'), ('ask', 'VB'), ('user', 'NN'), ('input', 'NN'), ('data', 'NNS'), ('file', 'VBP'), ('analyst', 'NN'), ('want', 'VBP'), ('perform', 'NN'), ('analysis', 'NN'), ('.', '.')]",The system shall ask file want  system user input analyst perform analysis
3125,system shall allow user define encoding scheme inputting item found data file corresponding code.,system shall allow user define encoding scheme inputting item found data file corresponding code.,0,Medical,Artificial Intelligence,131,131,97,97,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('define', 'NN'), ('encoding', 'VBG'), ('scheme', 'NN'), ('inputting', 'VBG'), ('item', 'NN'), ('found', 'VBD'), ('data', 'NNS'), ('file', 'NN'), ('corresponding', 'VBG'), ('code', 'NN'), ('.', '.')]",The system shall allow encoding inputting found corresponding user system define scheme item file code
